site,date,lizard_id,comments,order,count
SAGRI,04-Nov-14,SAGRI- 521-09,NA,araneae,1
SMONI,22-Jun-14,SMONI-522-01,NA,coleoptera,1
SMONI,22-Jun-14,SMONI-522-01,NA,araneae,1
SMONI,22-Jun-14,SMONI-522-17,formicidae,coleoptera,2
SMONI,22-Jun-14,SMONI-522-17,formicidae,hymenoptera,1
SMONI,22-Jun-14,SMONI-522-17,formicidae,isopoda,1
SMONI,22-Jun-14,SMONI-522-35,NA,coleoptera,1
SMONI,22-Jun-14,SMONI-522-35,NA,hymenoptera,1
SMONI,22-Jun-14,SMONI-522-33,Nymph (hem),hemiptera,2
SMONI,22-Jun-14,SMONI-522-33,Nymph (hem),araneae,1
SMONI,22-Jun-14,SMONI-522-03,Nematode. Formicidae,coleoptera,1
SMONI,22-Jun-14,SMONI-522-03,Nematode. Formicidae,hymenoptera,1
SMONI,07-Nov-14,SMONI-522-22,NA,coleoptera,2
SMONI,07-Nov-14,SMONI-522-22,NA,hemiptera,2
SMONI,07-Nov-14,SMONI-522-22,NA,orthoptera,1
SMONI,07-Nov-14,SMONI-522-22,NA,lepidoptera_larvae,1
SMONI,07-Nov-14,SMONI-522-22,NA,gastropoda,1
SMONI,07-Nov-14,SMONI-522-05,NA,hymenoptera,3
SMONI,07-Nov-14,SMONI-522-05,NA,araneae,2
SMONI,07-Nov-14,SMONI-522-26,NA,hemiptera,1
SMONI,07-Nov-14,SMONI-522-26,NA,hymenoptera,1
SMONI,07-Nov-14,SMONI-522-26,NA,araneae,2
SMONI,07-Nov-14,SMONI-522-26,NA,isopoda,1
SMONI,07-Nov-14,SMONI-522-04,NA,coleoptera,1
SMONI,07-Nov-14,SMONI-522-04,NA,lepidoptera_larvae,1
SMONI,07-Nov-14,SMONI-522-21,NA,blattodea,1
SMONI,07-Nov-14,SMONI-522-21,NA,coleoptera,1
SMONI,07-Nov-14,SMONI-522-21,NA,lepidoptera_larvae,2
SMONI,07-Nov-14,SMONI-522-21,NA,neuroptera_larvae,1
SMONI,07-Nov-14,SMONI-522-21,NA,gastropoda,1
SMONI,07-Nov-14,SMONI-522-38,NA,hymenoptera,2
SMONI,07-Nov-14,SMONI-522-38,NA,araneae,2
SMONI,07-Nov-14,SMONI-522-38,NA,isopoda,1
SMONI,07-Nov-14,SMONI-522-09,NA,hymenoptera,2
SMONI,07-Nov-14,SMONI-522-09,NA,lepidoptera,1
SMONI,07-Nov-14,SMONI-522-09,NA,diptera_larvae,1
SMONI,07-Nov-14,SMONI-522-06,NA,hemiptera,1
SMONI,07-Nov-14,SMONI-522-06,NA,orthoptera,1
SMONI,07-Nov-14,SMONI-522-06,NA,lepidoptera_larvae,2
SMONI,07-Nov-14,SMONI-522-34,NA,lepidoptera,1
SMONI,07-Nov-14,SMONI-522-34,NA,lepidoptera_larvae,1
SMONI,07-Nov-14,SMONI-522-34,NA,araneae,1
SMONI,07-Nov-14,SMONI-522-34,NA,gastropoda,1
SMONI,07-Nov-14,SMONI-522-19,NA,hemiptera,2
SMONI,07-Nov-14,SMONI-522-19,NA,lepidoptera_larvae,1
SMONI,07-Nov-14,SMONI-522-32,NA,blattodea,1
SMONI,07-Nov-14,SMONI-522-32,NA,hemiptera,3
SMONI,07-Nov-14,SMONI-522-32,NA,hymenoptera,1
SMONI,07-Nov-14,SMONI-522-32,NA,lepidoptera,1
SMONI,07-Nov-14,SMONI-522-32,NA,lepidoptera_larvae,1
SMONI,07-Nov-14,SMONI-522-32,NA,araneae,1
SMONI,07-Nov-14,SMONI-522-39,NA,hymenoptera,1
SMONI,07-Nov-14,SMONI-522-10,NA,coleoptera,1
SMONI,07-Nov-14,SMONI-522-10,NA,hymenoptera,3
SMONI,07-Nov-14,SMONI-522-13,NA,diptera,1
SMONI,07-Nov-14,SMONI-522-13,NA,hemiptera,17
SMONI,07-Nov-14,SMONI-522-13,NA,hymenoptera,3
SMONI,07-Nov-14,SMONI-522-02,NA,coleoptera,2
SMONI,07-Nov-14,SMONI-522-02,NA,lepidoptera_larvae,1
SMONI,07-Nov-14,SMONI-522-02,NA,gastropoda,1
SMONI,07-Nov-14,SMONI-522-30,NA,coleoptera,1
SMONI,07-Nov-14,SMONI-522-30,NA,hymenoptera,3
SMONI,07-Nov-14,SMONI-522-30,NA,gastropoda,1
SMONI,07-Nov-14,SMONI-522-24,NA,lepidoptera_larvae,1
SMONI,07-Nov-14,SMONI-522-07,NA,coleoptera,1
SMONI,07-Nov-14,SMONI-522-07,NA,isopoda,1
SMONI,07-Nov-14,SMONI-522-37,NA,coleoptera,3
SMONI,07-Nov-14,SMONI-522-37,NA,lepidoptera_larvae,1
