sample,site,sample_type,date,lizard_id,order,count,comments
DI-SMONI-522_38,SMONI,diet,07-Nov-14,SMONI-522-38,araneae,2,NA
DI-SMONI-522_09,SMONI,diet,07-Nov-14,SMONI-522-09,hymenoptera,2,NA
DI-SMONI-522_09,SMONI,diet,07-Nov-14,SMONI-522-09,lepidoptera,1,NA
DI-SMONI-522_09,SMONI,diet,07-Nov-14,SMONI-522-09,larvae,1,NA
DI-SMONI-522_06,SMONI,diet,07-Nov-14,SMONI-522-06,hemiptera,1,NA
DI-SMONI-522_06,SMONI,diet,07-Nov-14,SMONI-522-06,orthoptera,1,NA
DI-SMONI-522_06,SMONI,diet,07-Nov-14,SMONI-522-06,larvae,2,NA
DI-SMONI-522_34,SMONI,diet,07-Nov-14,SMONI-522-34,lepidoptera,1,NA
DI-SMONI-522_34,SMONI,diet,07-Nov-14,SMONI-522-34,araneae,1,NA
DI-SMONI-522_34,SMONI,diet,07-Nov-14,SMONI-522-34,gastropoda,1,NA
DI-SMONI-522_34,SMONI,diet,07-Nov-14,SMONI-522-34,larvae,1,NA
DI-SMONI-522_19,SMONI,diet,07-Nov-14,SMONI-522-19,hemiptera,2,NA
DI-SMONI-522_19,SMONI,diet,07-Nov-14,SMONI-522-19,larvae,1,NA
DI-SMONI-522_32,SMONI,diet,07-Nov-14,SMONI-522-32,hemiptera,3,NA
DI-SMONI-522_32,SMONI,diet,07-Nov-14,SMONI-522-32,hymenoptera,1,NA
DI-SMONI-522_32,SMONI,diet,07-Nov-14,SMONI-522-32,lepidoptera,1,NA
DI-SMONI-522_32,SMONI,diet,07-Nov-14,SMONI-522-32,araneae,1,NA
DI-SMONI-522_32,SMONI,diet,07-Nov-14,SMONI-522-32,larvae,1,NA
DI-SMONI-522_39,SMONI,diet,07-Nov-14,SMONI-522-39,hymenoptera,1,NA
DI-SMONI-522_10,SMONI,diet,07-Nov-14,SMONI-522-10,coleoptera,1,NA
DI-SMONI-522_10,SMONI,diet,07-Nov-14,SMONI-522-10,hymenoptera,3,NA
DI-SMONI-522_13,SMONI,diet,07-Nov-14,SMONI-522-13,hemiptera,17,NA
DI-SMONI-522_13,SMONI,diet,07-Nov-14,SMONI-522-13,hymenoptera,3,NA
DI-SMONI-522_02,SMONI,diet,07-Nov-14,SMONI-522-02,coleoptera,2,NA
DI-SMONI-522_02,SMONI,diet,07-Nov-14,SMONI-522-02,gastropoda,1,NA
DI-SMONI-522_02,SMONI,diet,07-Nov-14,SMONI-522-02,larvae,1,NA
DI-SMONI-522_30,SMONI,diet,07-Nov-14,SMONI-522-30,coleoptera,1,NA
DI-SMONI-522_30,SMONI,diet,07-Nov-14,SMONI-522-30,hymenoptera,3,NA
DI-SMONI-522_30,SMONI,diet,07-Nov-14,SMONI-522-30,gastropoda,1,NA
DI-SMONI-522_24,SMONI,diet,07-Nov-14,SMONI-522-24,larvae,1,NA
DI-SMONI-522_07,SMONI,diet,07-Nov-14,SMONI-522-07,coleoptera,1,NA
DI-SMONI-522_37,SMONI,diet,07-Nov-14,SMONI-522-37,coleoptera,3,NA
DI-SMONI-522_37,SMONI,diet,07-Nov-14,SMONI-522-37,larvae,1,NA
DI-VIGLA-517_14,VIGLA,diet,07-Nov-14,VIGLA-517-14,hemiptera,1,NA
DI-VIGLA-517_14,VIGLA,diet,07-Nov-14,VIGLA-517-14,orthoptera,1,NA
DI-VIGLA-517_14,VIGLA,diet,07-Nov-14,VIGLA-517-14,gastropoda,1,NA
DI-VIGLA-517_20,VIGLA,diet,07-Nov-14,VIGLA-517-20,hemiptera,22,NA
DI-VIGLA-517_20,VIGLA,diet,07-Nov-14,VIGLA-517-20,hymenoptera,1,NA
DI-VIGLA-517_20,VIGLA,diet,07-Nov-14,VIGLA-517-20,gastropoda,1,NA
DI-VIGLA-517_20,VIGLA,diet,07-Nov-14,VIGLA-517-20,larvae,2,NA
DI-VIGLA-517_03,VIGLA,diet,07-Nov-14,VIGLA-517-03,coleoptera,2,NA
DI-VIGLA-517_03,VIGLA,diet,07-Nov-14,VIGLA-517-03,araneae,1,NA
DI-VIGLA-517_03,VIGLA,diet,07-Nov-14,VIGLA-517-03,larvae,2,NA
DI-VIGLA-517_01,VIGLA,diet,07-Nov-14,VIGLA-517-01,hymenoptera,1,NA
DI-VIGLA-517_02,VIGLA,diet,07-Nov-14,VIGLA-517-02,hemiptera,1,NA
DI-VIGLA-517_02,VIGLA,diet,07-Nov-14,VIGLA-517-02,hymenoptera,1,NA
DI-VIGLA-517_10,VIGLA,diet,07-Nov-14,VIGLA-517-10,coleoptera,1,NA
DI-VIGLA-517_23,VIGLA,diet,07-Nov-14,VIGLA-517-23,coleoptera,1,NA
DI-VIGLA-517_23,VIGLA,diet,07-Nov-14,VIGLA-517-23,hemiptera,1,NA
DI-VIGLA-517_23,VIGLA,diet,07-Nov-14,VIGLA-517-23,lepidoptera,1,NA
DI-VIGLA-517_23,VIGLA,diet,07-Nov-14,VIGLA-517-23,araneae,1,NA
DI-VIGLA-517_15,VIGLA,diet,07-Nov-14,VIGLA-517-15,coleoptera,1,NA
DI-VIGLA-517_15,VIGLA,diet,07-Nov-14,VIGLA-517-15,hemiptera,7,NA
DI-VIGLA-517_15,VIGLA,diet,07-Nov-14,VIGLA-517-15,hymenoptera,1,NA
DI-VIGLA-517_19,VIGLA,diet,07-Nov-14,VIGLA-517-19,hemiptera,1,NA
DI-VIGLA-517_19,VIGLA,diet,07-Nov-14,VIGLA-517-19,gastropoda,1,NA
DI-VIGLA-517_19,VIGLA,diet,07-Nov-14,VIGLA-517-19,larvae,1,NA
DI-VIGLA-517_06,VIGLA,diet,07-Nov-14,VIGLA-517-06,hemiptera,1,NA
DI-VIGLA-517_06,VIGLA,diet,07-Nov-14,VIGLA-517-06,hymenoptera,4,NA
DI-VIGLA-517_16,VIGLA,diet,07-Nov-14,VIGLA-517-16,hemiptera,1,NA
DI-VIGLA-517_16,VIGLA,diet,07-Nov-14,VIGLA-517-16,hymenoptera,1,NA
DI-VIGLA-517_16,VIGLA,diet,07-Nov-14,VIGLA-517-16,araneae,1,NA
